Geo Point;Geo Shape;numero;type;PMR;ADRESSE;emplacement_valide;INSEE
43.5943470006, 1.45586164937;"{""type"": ""Point"", ""coordinates"": [1.455861649365839, 43.59434700062394]}";25;Sanitaires tous publics;T;Port Saint-Sauveur;oui;31555
43.5995369369, 1.45459492847;"{""type"": ""Point"", ""coordinates"": [1.454594928466259, 43.59953693694231]}";23;Sanitaires tous publics;T;place Dupuy;oui;31555
43.6100113065, 1.43323680667;"{""type"": ""Point"", ""coordinates"": [1.433236806665046, 43.61001130647463]}";5;Sanitaires tous publics;T;bd Lascrosses (entrée Jardin Compans Caffarelli);oui;31555
43.608317091, 1.43715117305;"{""type"": ""Point"", ""coordinates"": [1.437151173053805, 43.608317090992706]}";22;Sanitaires tous publics;T;rue Cité Admnistrative;oui;31555
43.6065515081, 1.45222039047;"{""type"": ""Point"", ""coordinates"": [1.452220390472296, 43.60655150806581]}";40;Sanitaires standards;F;place Nicolas Bachelier;oui;31555
43.6051035242, 1.44788846851;"{""type"": ""Point"", ""coordinates"": [1.447888468505989, 43.60510352419224]}";4;Sanitaires colonnes;F;allée du Pdt Roosevelt;oui;31555
43.5990192767, 1.43035277667;"{""type"": ""Point"", ""coordinates"": [1.430352776669641, 43.59901927672155]}";36;Sanitaires tous publics;T;rue Réclusane;oui;31555
43.6027490803, 1.44805647817;"{""type"": ""Point"", ""coordinates"": [1.448056478173508, 43.60274908031498]}";24;Sanitaires colonnes;F;rue P Vidal;oui;31555
43.5976076265, 1.43077005558;"{""type"": ""Point"", ""coordinates"": [1.430770055576139, 43.59760762646048]}";18;Sanitaires colonnes;F;place Roguet;oui;31555
43.6202873678, 1.4352861402;"{""type"": ""Point"", ""coordinates"": [1.435286140204939, 43.62028736780973]}";33;Sanitaires tous publics;T;place du Marché aux cochons;oui;31555
43.6077622075, 1.39702820319;"{""type"": ""Point"", ""coordinates"": [1.397028203194412, 43.607762207453945]}";53;Sanitaires tous publics;T;Carrefour Bayonne - Vedel;oui;31555
43.5984202085, 1.44091390977;"{""type"": ""Point"", ""coordinates"": [1.440913909770754, 43.59842020853266]}";49;Sanitaires tous publics;T;6 bis Descente de la Halle aux Poissons;oui;31555
43.5962675142, 1.42328305068;"{""type"": ""Point"", ""coordinates"": [1.423283050682578, 43.59626751424765]}";50;Sanitaires tous publics;T;8 Place de la Patte d'Oie;oui;31555
43.5993989304, 1.45213516352;"{""type"": ""Point"", ""coordinates"": [1.45213516351753, 43.59939893039307]}";31;Sanitaires tous publics;T;Esplanade du 19 Août 1944;oui;31555
43.5857994948, 1.44755952337;"{""type"": ""Point"", ""coordinates"": [1.447559523365967, 43.58579949482089]}";51;Sanitaires tous publics;T;25 Grande Rue St Michel;oui;31555
43.5944845208, 1.44934282056;"{""type"": ""Point"", ""coordinates"": [1.449342820555017, 43.59448452081031]}";43;Sanitaires tous publics;T;37 Allée J. Guesde;oui;31555
43.6403324879, 1.45233593683;"{""type"": ""Point"", ""coordinates"": [1.452335936833076, 43.64033248785192]}";57;Sanitaires intégrables;T;Boulevard Netwiller;oui;31555
43.584779276, 1.42826369701;"{""type"": ""Point"", ""coordinates"": [1.428263697012497, 43.58477927598015]}";29;Sanitaires tous publics;T;rue de la Digue;oui;31555
43.5983046506, 1.43675616942;"{""type"": ""Point"", ""coordinates"": [1.436756169420138, 43.59830465057656]}";55;Sanitaires tous publics;T;18 Place Laganne;oui;31555
43.6113553777, 1.43856243302;"{""type"": ""Point"", ""coordinates"": [1.438562433019454, 43.61135537766346]}";44;Sanitaires tous publics;T;1 Bd Lascrosse;oui;31555
43.605788707, 1.45223721801;"{""type"": ""Point"", ""coordinates"": [1.452237218014127, 43.605788707006425]}";21;Sanitaires tous publics;T;proche 30 rue Jean Palaprat;oui;31555
43.6194733844, 1.46902285782;"{""type"": ""Point"", ""coordinates"": [1.469022857822044, 43.61947338440088]}";35;Sanitaires tous publics;T;passage Louis Plana;oui;31555
43.6116556231, 1.43920999755;"{""type"": ""Point"", ""coordinates"": [1.439209997549729, 43.611655623106074]}";6;Sanitaires standards;F;proche 54 bd d'Arcole;oui;31555
43.5772492236, 1.43991338708;"{""type"": ""Point"", ""coordinates"": [1.439913387080878, 43.577249223577475]}";15;Sanitaires standards;F;allée Henri Sellier;oui;31555
43.5964691362, 1.4539684741;"{""type"": ""Point"", ""coordinates"": [1.453968474098027, 43.59646913618108]}";11;Sanitaires standards;F;allée Paul Sabatier;oui;31555
43.6087273756, 1.45045487595;"{""type"": ""Point"", ""coordinates"": [1.450454875949523, 43.608727375640385]}";39;Sanitaires tous publics;T;place de Belfort;oui;31555
43.5923829592, 1.45126574709;"{""type"": ""Point"", ""coordinates"": [1.451265747089746, 43.59238295917628]}";12;Sanitaires standards;F;Jardin des plantes;oui;31555
43.5972647936, 1.44421005367;"{""type"": ""Point"", ""coordinates"": [1.444210053667186, 43.59726479364514]}";3;Sanitaires tous publics;T;rue des Prêtres;oui;31555
43.5810433187, 1.44927686176;"{""type"": ""Point"", ""coordinates"": [1.449276861755263, 43.581043318674844]}";32;Sanitaires standards;F;avenue de l'URSS (proche IUFM);oui;31555
43.6012405352, 1.45215637239;"{""type"": ""Point"", ""coordinates"": [1.452156372393132, 43.601240535213314]}";10;Sanitaires standards;F;proche 4 bd Lazare Carnot;oui;31555
43.6053387345, 1.44886838752;"{""type"": ""Point"", ""coordinates"": [1.448868387516534, 43.60533873453212]}";9;Sanitaires colonnes;F;proche 81 bd Lazare Carnot;oui;31555
43.5744237229, 1.46234064298;"{""type"": ""Point"", ""coordinates"": [1.462340642979787, 43.574423722858526]}";47;Sanitaires tous publics;T;Face à la Poste;oui;31555
43.6132477492, 1.43537733097;"{""type"": ""Point"", ""coordinates"": [1.435377330966334, 43.613247749179784]}";41;Sanitaires tous publics;T;Angle rue Laplace;oui;31555
43.5814599471, 1.41326082684;"{""type"": ""Point"", ""coordinates"": [1.413260826840502, 43.581459947115]}";38;Sanitaires tous publics;T;2 Rue de Saintonge;oui;31555
43.6032070242, 1.45536590967;"{""type"": ""Point"", ""coordinates"": [1.455365909670454, 43.60320702422202]}";14;Sanitaires tous publics;T;bd Jules Michelet;oui;31555
43.6169233555, 1.40808622116;"{""type"": ""Point"", ""coordinates"": [1.408086221159957, 43.616923355515276]}";46;Sanitaires tous publics;T;6 Rue T. Holgado;oui;31555
43.5792725227, 1.48357725336;"{""type"": ""Point"", ""coordinates"": [1.483577253364938, 43.579272522737575]}";17;Sanitaires tous publics;T;place de l'Ormeau;oui;31555
43.6015525792, 1.43846486506;"{""type"": ""Point"", ""coordinates"": [1.438464865060411, 43.60155257919394]}";1;Sanitaires intégrables;F;place de la Daurade;oui;31555
43.6060219509, 1.4467358366;"{""type"": ""Point"", ""coordinates"": [1.446735836604275, 43.60602195089049]}";20;Sanitaires intégrables;T;place Victor Hugo;oui;31555
